nr_crt,sucursala,departament,denumire_persoana_juridica,adresa_imobil,constructie_mp,teren_mp,tip_contract,modalitate_atribuire,data_inceput,data_incetare,pret_ron,pret_eur
1,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Ti Trust Invest SA,"Str. Zăvoiului, Nr. 38, Băile Herculane, Jud. Caraș- Severin","779,13",2313,închiriere,licitație publică,14-Nov-24,13-Nov-29,,1541
2,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Generation Tennis Timisoara SRL,"Calea Dorobantilor, nr. 94, Timisoara, jud. Timis",,4500,închiriere,licitație publică,28-Apr-22,27-Apr-27,,1461
3,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Generation Tennis Timisoara SRL,"Calea Dorobantilor, nr. 94, Timisoara, jud. Timis",58,,închiriere,licitație publică,25-Mar-24,24-Mar-29,,72.8
4,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Nicol Rom SRL,"Str. Libertatii, Nr. 63, Apahida, Jud. Cluj",672,,închiriere,licitație publică,6-Jul-21,5-Jul-26,,1182
5,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Suprema Plus SRL,"Str. Libertatii, Nr. 63, Apahida, Jud. Cluj",226,,închiriere,licitație publică,22-Sep-22,21-Sep-27,,405
6,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Marica Mihaela Melania PFA,"B-dul 21Decembrie, nr.54- 56, Cluj Napoca, Jud. Cluj",13.5,,închiriere,licitație publică,5-Feb-25,4-Feb-30,,200
7,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Activ Business Estate SRL,"B-dul 21Decembrie, nr.54- 56, Cluj Napoca, Jud. Cluj",9.2,,închiriere,licitație publică,2-Feb-22,1-Feb-27,,130
8,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Activ Business Estate SRL,"B-dul 21Decembrie, nr.54- 56, Cluj Napoca, Jud. Cluj",22,,închiriere,licitație publică,5-Feb-25,4-Feb-30,,220
9,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Reset Imobiliare SRL,"B-dul 21Decembrie, nr.54- 56, Cluj Napoca, Jud. Cluj",22,,închiriere,licitație publică,20-May-25,19-May-30,,188
10,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Create Beauty Distribution SRL,"B-dul 21Decembrie, nr.54- 56, Cluj Napoca, Jud. Cluj",43.55,,închiriere,licitație publică,11-Apr-24,10-Apr-29,,385
11,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Vantage Towers SRL,"B-dul 21Decembrie, nr.54- 56, Cluj Napoca, Jud. Cluj",53,,închiriere,licitație publică,24-Apr-25,23-Apr-30,,1484
12,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Orange Romania SA,"B-dul 21Decembrie, nr.54- 56, Cluj Napoca, Jud. Cluj",25,,închiriere,licitație publică,12-Dec-23,11-Dec-28,,725
13,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,DIGI Romania SA,"B-dul 21Decembrie, nr.54- 56, Cluj Napoca, Jud. Cluj",10,,închiriere,licitație publică,16-Feb-26,15-Feb-31,,280
14,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Banca Comerciala Romana SA,"B-dul 21Decembrie, nr.54- 56, Cluj Napoca, Jud. Cluj",20.9,,închiriere,licitație publică,16-Feb-26,15-Feb-31,,260
1,SUCURSALA DE REPREZENTARE ȘI PROTOCOL NEPTUN,,DIGI ROMANIA,"TERASA COMPLEXULUI DOINA DIN str.PLOPILOR NR.12A, NEPTUN",10,,inchiriere,licitație publică,10-Jan-25,16-Jan-30,,464
2,SUCURSALA DE REPREZENTARE ȘI PROTOCOL NEPTUN,,INTREPRINDERE INDIVIDUALA TUIU ADRIAN DANIEL,TEREN 100MP HOTEL DACIA ALEEA STEAGURILOR NR.1,,100,inchiriere,licitație publică,12-Mar-26,12-Mar-30,,380
1,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AMEROM COMPROD 1953 IMPEX S.R.L.,P-TA PRESEI LIBERE NR.1,26.00,,Închiriere și prestări servicii,Licitație publică/Folosinta spatiu fara titlu,19-Mar-2021,31 Mar 2026 In procedura de scoatere la licitatie,85.98,468.00
2,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,TELEKOM ROMANIA MOBILE COMMUNICATIONS S.A,P-TA PRESEI LIBERE NR.1,30.00,,Închiriere și prestări servicii,Licitație publică/Folosinta spatiu fara titlu,11-Feb-2021,10 Feb 2026 In procedura de scoatere la licitatie,335.81,720.00
3,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,Uniunea Editorilor din Romania,P-TA PRESEI LIBERE NR.1,40.00,,Închiriere și prestări servicii,Licitație publică,10-Feb-2022,9-Feb-2027,851.65,151.69
4,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,FUTURE LINE COMPUTERS,P-TA PRESEI LIBERE NR.1,75.40,,Închiriere și prestări servicii,Licitație publică,17-Dec-2021,31-Jan-2027,214.89,791.70
5,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,TELEKOM ROMANIA MOBILE COMMUNICATIONS S.A,P-TA PRESEI LIBERE NR.1,12.00,,Închiriere și prestări servicii,Licitație publică/Folosinta spatiu fara titlu,11-Feb-2021,10 Feb 2026 In procedura de scoatere la licitatie,133.12,288.00
6,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,CONSILIUL CONCURENTEI,P-TA PRESEI LIBERE NR.1,10786.00,,Închiriere și prestări servicii,Atribuire directă,22-Apr-2026,30-Sep-2026,463110.77,
7,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,GTS TELECOM S.R.L.,P-TA PRESEI LIBERE NR.1,29.91,,Închiriere și prestări servicii,Licitație publică,28-Sep-2023,27-Sep-2028,587.65,257.33
8,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,GROUP MEDIA SUPPORT & CONSULTING S.R.L.,P-TA PRESEI LIBERE NR.1,213.40,,Închiriere și prestări servicii,Licitație publică,4-Mar-2022,3-Mar-2027,3401.91,839.71
9,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,GROUP MEDIA SUPPORT & CONSULTING S.R.L.,P-TA PRESEI LIBERE NR.1,87.84,,Închiriere și prestări servicii,Licitație publică,10-Jun-2021,30-Jun-2026,155.48,491.90
10,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,GROUP MEDIA SUPPORT & CONSULTING S.R.L.,P-TA PRESEI LIBERE NR.1,100.00,,Închiriere,Licitație publică,22-Jan-2025,21-Jan-2027,,280.00
11,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,START MEDIA S.R.L.,P-TA PRESEI LIBERE NR.1,92.41,,Închiriere și prestări servicii,Licitație publică,11-Nov-2022,10-Nov-2027,1117.20,517.67
12,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,EDITURA MAXIM CONCEPT,P-TA PRESEI LIBERE NR.1,422.90,,Închiriere și prestări servicii,Licitație publică,29-Jan-2026,28-Jan-2027,8965.70,3863.26
13,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,EDITURA MAXIM CONCEPT,P-TA PRESEI LIBERE NR.1,59.75,,Închiriere și prestări servicii,Licitație publică,16-Oct-2024,15-Oct-2029,2231.46,300.99
14,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,PRIME TELECOM,P-TA PRESEI LIBERE NR.1,26.93,,Închiriere și prestări servicii,Licitație publică,17-May-2022,16-May-2027,530.71,113.46
15,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C MANPRES DISTRIBUTION S.R.L.,P-TA PRESEI LIBERE NR.1,149.11,,Închiriere și prestări servicii,Licitație publică,12-Aug-2021,14-Aug-2026,3221.10,564.80
16,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ORANGE ROMANIA S.A.,P-TA PRESEI LIBERE NR.1,20.00,,Închiriere,Licitație publică,18-Feb-2026,17-Feb-2027,,200.00
17,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,INES GROUP S.R.L.,P-TA PRESEI LIBERE NR.1,15.12,,Închiriere și prestări servicii,Licitație publică,29-Jul-2021,31-Jul-2026,472.54,80.50
18,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AUTORITATEA NATIONALA SANITARA VETERINARA SI PENTRU SIGURANTA ALIMENTELOR,P-TA PRESEI LIBERE NR.1,4233.87,,Închiriere și prestări servicii,Atribuire directă,8-Apr-2026,31-Aug-2026,170539.33,
19,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SN DE RADIOCOMUNICATII- DIR.RADIOCOM.BUCURESTI,P-TA PRESEI LIBERE NR.1,132.49,,Închiriere și prestări servicii,Licitație publică,23-Apr-2026,22-Apr-2027,2558.86,875.36
20,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,DIGI ROMANIA S.A.,P-TA PRESEI LIBERE NR.1,10.00,,Închiriere și prestări servicii,Licitație publică,16-Jan-2026,15-Jan-2027,112.94,700.00
21,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. TOPO TERRA METRIC S.R.L.,P-TA PRESEI LIBERE NR.1,27.67,,Închiriere și prestări servicii,Licitație publică,17-Jun-2022,19-Jun-2027,566.19,102.60
22,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC.AIM ATTUNED TECHNOLOGIES S.R.L,P-TA PRESEI LIBERE NR.1,134.61,,Închiriere și prestări servicii,Licitație publică,13-Dec-2023,12-Dec-2028,3233.63,556.31
23,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC.AIM ATTUNED TECHNOLOGIES S.R.L,P-TA PRESEI LIBERE NR.1,69.78,,Închiriere și prestări servicii,Licitație publică,27-Feb-2023,14-Mar-2028,1711.92,256.97
24,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,MINISTERUL CULTURII SI PATRIMONIULUI NATIONAL- INSTITUTUL NATIONAL AL PATRIMONIULUI,P-TA PRESEI LIBERE NR.1,437.46,,Închiriere și prestări servicii,Atribuire directă,22-Sep-2025,31-Aug-2026,12402.99,
25,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,C.E. MAGAZIN S.R.L.,P-TA PRESEI LIBERE NR.1,83.60,,Închiriere și prestări servicii,Licitație publică,10-Feb-2022,9-Feb-2027,1847.16,263.89
26,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. HUMANITAS S.A.,P-TA PRESEI LIBERE NR.1,685.52,,Închiriere și prestări servicii,Licitație publică,20-Feb-2026,19-Feb-2027,13796.27,3916.40
27,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. LIBRARIILE HUMANITAS S.A.,P-TA PRESEI LIBERE NR.1,222.14,,Închiriere și prestări servicii,Licitație publică,20-Feb-2026,19-Feb-2027,4367.41,1321.67
28,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. HUMANITAS FICTION S.R.L.,P-TA PRESEI LIBERE NR.1,184.52,,Închiriere și prestări servicii,Licitație publică,20-Feb-2026,19-Feb-2027,3729.17,1118.64
29,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ORANGE ROMANIA S.A.,P-TA PRESEI LIBERE NR.1,147.19,,Închiriere și prestări servicii,Licitație publică,14-Mar-2022,28-Mar-2027,1750.73,2945.28
30,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,MINISTERUL TRANSPORTURILOR ŞI INFRASTRUCTURII – INSPECTORATUL DE STAT PENTRU CONTROLUL ÎN TRANSPORTUL RUTIER – I.S.C.T.R. – INSPECTORATUL TERITORIAL BUCUREŞTI ILFOV,P-TA PRESEI LIBERE NR.1,294.77,,Închiriere și prestări servicii,Atribuire directă,19-May-2026,31-Dec-2026,13941.73,
31,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,PRESS MEDIA ELECTRONIC,P-TA PRESEI LIBERE NR.1,26.46,,Închiriere și prestări servicii,Licitație publică,13-Jan-2022,31-Jan-2027,829.32,111.48
32,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SECRETARIATUL DE STAT PENTRU RECUNOASTEREA MERITELOR LUPTATORILOR IMPOTRIVA REGIMULUI COMUNIST INSTAURAT IN ROMANIA IN PERIOADA 1945- 1989,P-TA PRESEI LIBERE NR.1,819.74,,Închiriere și prestări servicii,Atribuire directă,29-Mar-2023,31-Dec-2026,29945.63,
33,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,CURTEA DE CONTURI A ROMANIEI,P-TA PRESEI LIBERE NR.1,2439.99,,Închiriere și prestări servicii,Atribuire directă,22-Dec-2017,31-Dec-2026,110988.45,
34,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,"ASOCIATIA „EXPERTI CONTABILI, AUDITORILOR SI A CONSULTANTILOR FISCALI”",P-TA PRESEI LIBERE NR.1,69.47,,Închiriere și prestări servicii,Licitație publică/Folosinta spatiu fara titlu,20-Mar-2025,31 Mar 2026 Litigiu,2156.48,227.42
35,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C PRESS BOOK CONSULTING.R.L,P-TA PRESEI LIBERE NR.1,42.83,,Închiriere și prestări servicii,Licitație publică/Folosinta spatiu fara titlu,10-Jun-2021,9 Iun 2026 In procedura de scoatere la licitatie,315.70,182.73
36,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. EDIT INTERNATIONAL S.R.L.,P-TA PRESEI LIBERE NR.1,21.21,,Închiriere și prestări servicii,Licitație publică,17-mar.-22,17-Mar-2027,743.82,60.34
37,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. TANDEM CONSULTANTA MEDIA S.R.L.,P-TA PRESEI LIBERE NR.1,29.02,,Închiriere și prestări servicii,Licitație publică,14-Mar-2022,13-Mar-2027,1125.05,95.66
38,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. MAXJOY EUROTRADE CONCEPT S.R.L.,P-TA PRESEI LIBERE NR.1,5.00,,Închiriere și prestări servicii,Licitație publică,10-Jun-2021,30-Jun-2026,8.85,35.00
39,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. CHROMINANCE S.R.L,P-TA PRESEI LIBERE NR.1,53.59,,Închiriere și prestări servicii,Licitație publică,14-Nov-2023,13-Nov-2028,982.60,311.08
40,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC MEDIA SAT,P-TA PRESEI LIBERE NR.1,38.03,,Închiriere și prestări servicii,Licitație publică,22-Feb-2022,3-Mar-2027,1482.80,120.05
41,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,"AUTORITATEA NATIONALA DE REGLEMENTARE IN DOMENIUL MINIER, PETROLIER SI AL STOCARII GEOLOGICE A DIOXIDULUI DE CARBON",P-TA PRESEI LIBERE NR.1,291.53,,Închiriere și prestări servicii,Atribuire directă,19-Jan-2023,31-Dec-2026,7512.26,
42,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AUTORITATEA NATIONALA PENTRU CETATENIE,P-TA PRESEI LIBERE NR.1,1393.38,,Închiriere și prestări servicii,Atribuire directă,19-Jan-2023,31-Dec-2026,43936.01,
43,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. LUNA MEDIA ADVERTISING S.R.L.,P-TA PRESEI LIBERE NR.1,58.01,,Închiriere și prestări servicii,Licitație publică,19-Oct-2023,31-Oct-2028,1341.64,357.70
44,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,MINISTERUL MUNCII SI JUSTITIEI SOCIALE - INSPECTIA MUNCII - INSPECTORATUL TERITORIAL DE MUNCA AL MUNICIPIULUI BUCURESTI,P-TA PRESEI LIBERE NR.1,1612.07,,Închiriere și prestări servicii,Atribuire directă,15-Sep-2025,31-Aug-2026,41564.12,
45,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. ROMAGREGATE MULTI MIX CASA DE EXPEDIȚII S.R.L.,P-TA PRESEI LIBERE NR.1,70.24,,Închiriere și prestări servicii,Licitație publică,28-Apr-2023,30-Apr-2028,1642.02,258.68
46,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. GRAFIC X-PRESS S.R.L.,P-TA PRESEI LIBERE NR.1,108.26,,Închiriere și prestări servicii,Licitație publică,4-Mar-2022,3-Mar-2027,1415.15,516.24
47,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. CAMERA 1 S.R.L.,P-TA PRESEI LIBERE NR.1,24.81,,Închiriere și prestări servicii,Licitație publică,7-Apr-2022,6-Apr-2027,840.25,73.16
48,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AGENTIA NATIONALA DE ADMINISTRARE FISCALA - DIRECTIA GENERALA A FINANTELOR PUBLICE - BUCURESTI,P-TA PRESEI LIBERE NR.1,811.98,,Închiriere și prestări servicii,Atribuire directă,20-May-2022,30-Apr-2027,37658.14,
49,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. THOR AUTOTEHNIC S.R.L,P-TA PRESEI LIBERE NR.1,131.89,,Închiriere și prestări servicii,Licitație publică,16-May-2022,18-May-2027,1498.49,786.18
50,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. RAIMAN BUSSINESS GROUP S.R.L.,P-TA PRESEI LIBERE NR.1,36.67,,Închiriere și prestări servicii,Licitație publică,10-Feb-2022,24-Feb-2027,247.65,146.39
51,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. BOFASA CONCEPT S.R.L.,P-TA PRESEI LIBERE NR.1,21.25,,Închiriere și prestări servicii,Licitație publică/Folosinta spatiu fara titlu,19-Mar-2021,18 Mar 2026 In procedura de scoatere la licitatie,424.73,223.56
52,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. EXPERT BUSINESS CONSTRUCT S.R.L.,P-TA PRESEI LIBERE NR.1,12.00,,Închiriere și prestări servicii,Licitație publică,19-Mar-2021,13 Mai 2026 In procedura de scoatere la licitatie,21.24,240.00
53,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. EXPERT BUSINESS CONSTRUCT S.R.L.,P-TA PRESEI LIBERE NR.1,26.71,,Închiriere și prestări servicii,Licitație publică,12-May-2022,11-May-2027,1025.69,117.00
54,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. EXPERT BUSINESS CONSTRUCT S.R.L.,P-TA PRESEI LIBERE NR.1,9.00,,Închiriere și prestări servicii,Licitație publică,19-Mar-2021,13 Mai 2026 In procedura de scoatere la licitatie,15.93,180.00
55,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC BLUE ENGINEERING SRL,P-TA PRESEI LIBERE NR.1,38.03,,Închiriere și prestări servicii,Licitație publică,11-Oct-2021,31-Oct-2026,897.10,140.05
56,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. CROSS MEDIA PUBLISHING S.R.L.,P-TA PRESEI LIBERE NR.1,96.85,,Închiriere și prestări servicii,Licitație publică,14-Mar-2022,13-Mar-2027,1152.76,326.45
57,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. NGH MEDIA MANAGEMENT S.R.L.,P-TA PRESEI LIBERE NR.1,190.73,,Închiriere și prestări servicii,Licitație publică,14-Mar-2022,13-Mar-2027,1804.03,642.91
58,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AGENTIA NATIONALA DE ADMINISTRARE FISCALA,P-TA PRESEI LIBERE NR.1,98.50,,Închiriere și prestări servicii,Atribuire directă,10-May-2022,31-Aug-2026,6370.18,
59,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. TRANSILVANIA AUDIT&FISCALITY S.R.L.,P-TA PRESEI LIBERE NR.1,40.00,,Închiriere și prestări servicii,Licitație publică,19-Apr-2022,18-Apr-2027,644.77,117.98
60,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. HALLMARKS ESTATE DEVELOPERS S.R.L.,P-TA PRESEI LIBERE NR.1,387.45,,Închiriere și prestări servicii,Licitație publică,19-Apr-2022,18-Apr-2027,11930.90,1142.78
61,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. ANDREM STRATEGY S.R.L.,P-TA PRESEI LIBERE NR.1,15.28,,Închiriere și prestări servicii,Licitație publică,15-Mar-2022,31-Mar-2027,469.29,54.24
62,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. ZN PR & EVENTS S.R.L.,P-TA PRESEI LIBERE NR.1,40.87,,Închiriere și prestări servicii,Licitație publică,19-Jan-2022,16-Feb-2027,896.83,143.34
63,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. SERV HR INTEGRAL S.R.L.,P-TA PRESEI LIBERE NR.1,63.64,,Închiriere și prestări servicii,Licitație publică,17-Dec-2021,31-Jan-2027,2231.46,259.00
64,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. SERV HR INTEGRAL S.R.L.,P-TA PRESEI LIBERE NR.1,14.89,,Închiriere și prestări servicii,Licitație publică,27-Feb-2026,26-Feb-2027,299.18,90.28
65,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,Press Media Electronic,P-TA PRESEI LIBERE NR.1,407.96,,Închiriere și prestări servicii,Licitație publică,5-Sep-2023,4-Sep-2028,12871.86,2645.66
66,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. SYMBOL BUSINESS SOLUTIONS S.R.L.,P-TA PRESEI LIBERE NR.1,30.76,,Închiriere și prestări servicii,Licitație publică,14-Dec-2022,2-Jan-2027,88.01,220.03
67,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AGENTIA NATIONALA PENTRU DEZVOLTAREA INFRASTRUCTURII IN SANATATE - ANDIS,P-TA PRESEI LIBERE NR.1,1662.96,,Închiriere și prestări servicii,Atribuire directă,13-Feb-2023,31-Dec-2026,54461.00,
68,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. RTV HD S.R.L.,P-TA PRESEI LIBERE NR.1,38.03,,Închiriere și prestări servicii,Licitație publică,4-Apr-2024,3-Apr-2029,892.96,147.83
69,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. EXQUISITE PRODUCTION S.R.L.,P-TA PRESEI LIBERE NR.1,29.90,,Închiriere și prestări servicii,Licitație publică,20-Jun-2024,19-Jun-2029,607.46,157.18
70,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AGENTIA NATIONALA DE ADMINISTRARE FISCALA,P-TA PRESEI LIBERE NR.1,8879.85,,Închiriere și prestări servicii,Atribuire directă,8-Dec-2021,31-Aug-2026,410794.79,
71,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. CU DRAG ENTERTAINMENT S.R.L.,P-TA PRESEI LIBERE NR.1,41.85,,Închiriere și prestări servicii,Licitație publică,24-Jul-2024,23-Jul-2029,65.70,192.51
72,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. BEST COFFEE CUP S.R.L.,P-TA PRESEI LIBERE NR.1,12.50,,Închiriere și prestări servicii,Licitație publică,17-Jul-2024,16-Jul-2029,22.13,250.00
73,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AGENTIA NATIONALA DE ADMINSTRARE FISCALA,P-TA PRESEI LIBERE NR.1,318.23,,Închiriere și prestări servicii,Atribuire directă,13-Jun-2024,31-Aug-2026,27292.54,
74,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. ROSARIO S.R.L.,P-TA PRESEI LIBERE NR.1,41.85,,Închiriere și prestări servicii,Licitație publică,19-Sep-2024,18-Sep-2029,65.70,154.01
